Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
proud,False,salet,jumpy,quick,quick,winch,winch
clasp,False,salet,winch,winch,vying,vying,vying
dingy,False,salet,vying,vying,fjord,fjord,fjord
humus,False,salet,fjord,fjord,fjord,fjord,fjord
magic,False,salet,fjord,fjord,fjord,fjord,fjord
tulip,False,salet,fjord,fjord,fjord,fjord,fjord
atone,False,salet,fjord,fjord,fjord,fjord,jumpy
quilt,False,salet,jumpy,jumpy,jumpy,jumpy,winch
flush,False,salet,winch,fjord,fjord,winch,winch
lumen,False,salet,jumpy,fjord,fjord,fjord,fjord
spade,False,salet,fjord,winch,winch,winch,winch
shine,False,salet,winch,winch,fjord,fjord,fjord
banal,False,salet,fjord,fjord,fjord,fjord,fjord
smote,False,salet,fjord,fjord,fjord,jumpy,jumpy
slimy,False,salet,jumpy,jumpy,fjord,fjord,fjord
death,False,salet,fjord,fjord,quick,quick,quick
dusky,False,salet,quick,quick,quick,fjord,fjord
would,False,salet,winch,winch,fjord,fjord,vying
chord,False,salet,vying,vying,vying,vying,vying
aloud,False,salet,vying,vying,vying,vying,vying
minus,False,salet,vying,vying,vying,fjord,fjord
spoil,False,salet,fjord,fjord,fjord,jumpy,jumpy
fjord,False,salet,jumpy,jumpy,jumpy,brick,brick
hover,False,salet,brick,brick,quick,quick,quick
ledge,False,salet,quick,quick,quick,quick,quick
organ,False,salet,quick,quick,quick,quick,quick
burnt,False,salet,quick,vying,vying,quick,quick
bravo,False,salet,vying,brick,quick,quick,quick
prose,False,salet,quick,quick,quick,quick,quick
gaunt,False,salet,quick,quick,quick,vying,winch
snake,False,salet,wimpy,wimpy,wimpy,wimpy,wimpy
haven,False,salet,wimpy,wimpy,wimpy,wimpy,wimpy
smack,False,salet,wimpy,wimpy,winch,winch,vying
mover,False,salet,vying,vying,vying,winch,winch
bland,False,salet,winch,brick,brick,picky,picky
clown,False,salet,picky,picky,wimpy,fjord,fjord
girly,False,salet,wimpy,fjord,fjord,fjord,fjord
clink,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
guide,False,salet,jumpy,wimpy,fjord,fjord,wimpy
cadet,False,salet,nymph,nymph,nymph,nymph,nymph
afire,False,salet,nymph,nymph,nymph,nymph,nymph
swine,False,salet,nymph,jumpy,jumpy,jumpy,jumpy
surge,False,salet,jumpy,wimpy,wimpy,wimpy,wimpy
avoid,False,salet,wimpy,fjord,wimpy,wimpy,nymph
wharf,False,salet,nymph,jumpy,jumpy,jumpy,jumpy
pedal,False,salet,jumpy,jumpy,jumpy,fjord,fjord
until,False,salet,fjord,fjord,fjord,fjord,fjord
brash,False,salet,fjord,fjord,fjord,jumpy,jumpy
skier,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
moldy,False,salet,jumpy,jumpy,quick,quick,quick
brisk,False,salet,quick,fjord,fjord,fjord,fjord
ulcer,False,salet,winch,winch,fjord,fjord,jumpy
hinge,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
agony,False,salet,jumpy,jumpy,fjord,fjord,winch
pound,False,salet,winch,winch,quick,quick,fjord
unmet,False,salet,fjord,fjord,fjord,fjord,fjord
pixel,False,salet,fjord,fjord,fjord,fjord,fjord
newly,False,salet,fjord,fjord,fjord,fjord,fjord
envoy,False,salet,fjord,fjord,quick,quick,quick
valid,False,salet,quick,quick,jumpy,jumpy,jumpy
timer,False,salet,jumpy,jumpy,jumpy,fjord,fjord
smelt,False,salet,quick,quick,quick,quick,quick
bugle,False,salet,quick,quick,fjord,fjord,fjord
frank,False,salet,fjord,winch,winch,winch,winch
kneel,False,salet,quick,quick,fjord,fjord,fjord
scion,False,salet,fjord,fjord,winch,jumpy,jumpy
lipid,False,salet,jumpy,jumpy,jumpy,fjord,fjord
truly,False,salet,winch,winch,winch,winch,winch
liken,False,salet,winch,fjord,fjord,fjord,fjord
singe,False,salet,fjord,fjord,fjord,fjord,fjord
evict,False,salet,fjord,fjord,fjord,fjord,fjord
hymen,False,salet,fjord,fjord,fjord,fjord,fjord
stock,False,salet,fjord,fjord,fjord,jumpy,jumpy
jerky,False,salet,jumpy,jumpy,quick,quick,winch
scram,False,salet,winch,winch,winch,winch,winch
gamer,False,salet,vying,fjord,jumpy,jumpy,winch
glaze,False,salet,winch,winch,winch,winch,winch
whack,False,salet,winch,fjord,fjord,fjord,fjord
storm,False,salet,fjord,vying,vying,vying,vying
judge,False,salet,vying,jumpy,vying,vying,jumpy
