Correct Word,Number of Guesses,1st Guess,2nd Guess,3rd Guess,4th Guess,5th Guess,6th Guess
marsh,3,salet,mason,marsh,,,
amber,2,salet,amber,,,,
funny,4,salet,bingo,hunky,funny,,
train,4,salet,junta,thank,train,,
bless,4,salet,close,flesh,bless,,
bleat,3,salet,alert,bleat,,,
hydro,3,salet,bingo,hydro,,,
crier,4,salet,pried,brief,crier,,
cello,4,salet,bilge,welch,cello,,
gloss,4,salet,locus,floss,gloss,,
roach,3,salet,chair,roach,,,
jewel,6,salet,cruel,novel,impel,wheel,jewel
acorn,3,salet,chair,acorn,,,
crane,5,salet,abide,chafe,craze,crane,
renal,5,salet,agile,clean,penal,renal,
finer,3,salet,pried,finer,,,
charm,3,salet,chair,charm,,,
forty,4,salet,botch,pouty,forty,,
assay,3,salet,arson,assay,,,
aware,4,salet,abide,argue,aware,,
ninny,6,salet,bingo,finch,pinky,windy,ninny
mangy,3,salet,bacon,mangy,,,
cress,3,salet,chose,cress,,,
mania,4,salet,bacon,mangy,mania,,
drone,5,salet,begin,crone,prone,drone,
lower,4,salet,cruel,liner,lower,,
conch,4,salet,bingo,honor,conch,,
embed,4,salet,pried,unfed,embed,,
cagey,3,salet,baker,cagey,,,
candy,3,salet,bacon,candy,,,
nicer,3,salet,pried,nicer,,,
mamma,5,salet,bacon,fairy,gamma,mamma,
adorn,4,salet,chair,organ,adorn,,
folio,4,salet,gulch,milky,folio,,
parry,4,salet,bacon,fairy,parry,,
onion,5,salet,bingo,irony,union,onion,
grind,4,salet,bingo,dying,grind,,
smash,4,salet,scary,shank,smash,,
bloke,5,salet,lemon,whole,globe,bloke,
cried,4,salet,pried,fried,cried,,
stein,3,salet,suite,stein,,,
girth,4,salet,botch,mirth,girth,,
horny,4,salet,bingo,frond,horny,,
acrid,3,salet,chair,acrid,,,
laden,3,salet,lager,laden,,,
focal,4,salet,aloud,coral,focal,,
alive,4,salet,agile,alike,alive,,
dowry,4,salet,bingo,chord,dowry,,
fecal,5,salet,agile,clean,decal,fecal,
blink,3,salet,blimp,blink,,,
hover,False,salet,pried,boxer,cower,goner,homer
humor,4,salet,bingo,chord,humor,,
equal,4,salet,agile,clean,equal,,
trust,3,salet,crust,trust,,,
quick,4,salet,bingo,quirk,quick,,
first,4,salet,crust,worst,first,,
these,3,salet,ethos,these,,,
chick,4,salet,bingo,quirk,chick,,
aloft,3,salet,bloat,aloft,,,
prick,4,salet,bingo,quirk,prick,,
ocean,4,salet,abide,heavy,ocean,,
deity,4,salet,brute,hefty,deity,,
caddy,4,salet,bacon,march,caddy,,
blown,4,salet,blimp,block,blown,,
bulge,3,salet,bilge,bulge,,,
green,4,salet,pried,creek,green,,
chili,5,salet,blimp,guild,icily,chili,
arena,3,salet,abide,arena,,,
moron,5,salet,bingo,frond,mourn,moron,
elate,4,salet,fetal,plate,elate,,
cabal,5,salet,carol,cavil,canal,cabal,
quota,3,salet,junta,quota,,,
baton,3,salet,tango,baton,,,
honey,5,salet,pried,boney,money,honey,
forth,6,salet,botch,youth,month,worth,forth
meter,5,salet,often,utter,deter,meter,
mower,5,salet,pried,boxer,cower,mower,
booth,3,salet,botch,booth,,,
axial,4,salet,aloud,anvil,axial,,
draft,4,salet,graft,craft,draft,,
badge,4,salet,mange,barge,badge,,
giddy,4,salet,bingo,rigid,giddy,,
girly,3,salet,blimp,girly,,,
carol,2,salet,carol,,,,
lipid,4,salet,blimp,pupil,lipid,,
belie,3,salet,bilge,belie,,,
droll,4,salet,blimp,curly,droll,,
piney,3,salet,pried,piney,,,
enema,5,salet,abide,heavy,opera,enema,
stave,4,salet,skate,stare,stave,,
mount,3,salet,doubt,mount,,,
major,3,salet,bacon,major,,,
debut,3,salet,erupt,debut,,,
bushy,3,salet,bison,bushy,,,
rarer,False,salet,baker,payer,gazer,wafer,racer
awful,3,salet,aloud,awful,,,
sound,4,salet,scion,snowy,sound,,
evade,4,salet,abide,grade,evade,,
ombre,3,salet,begin,ombre,,,
belle,3,salet,bilge,belle,,,
ivory,3,salet,bingo,ivory,,,
awake,5,salet,abide,argue,awoke,awake,
scold,2,salet,scold,,,,
mover,False,salet,pried,boxer,cower,goner,homer
lymph,3,salet,blimp,lymph,,,
sonic,3,salet,scion,sonic,,,
parse,3,salet,cause,parse,,,
elide,5,salet,lemon,clerk,glide,elide,
onion,5,salet,bingo,irony,union,onion,
arena,3,salet,abide,arena,,,
derby,3,salet,begin,derby,,,
adobe,3,salet,abide,adobe,,,
vivid,4,salet,bingo,picky,vivid,,
drank,5,salet,chair,ovary,brand,drank,
opera,4,salet,abide,heavy,opera,,
brunt,3,salet,doubt,brunt,,,
adopt,4,salet,graft,about,adopt,,
happy,5,salet,bacon,fairy,gaudy,happy,
lumen,3,salet,cruel,lumen,,,
greed,5,salet,pried,breed,freed,greed,
might,5,salet,doubt,crypt,fight,might,
adapt,4,salet,graft,chant,adapt,,
idiot,3,salet,doubt,idiot,,,
broom,4,salet,bingo,buxom,broom,,
condo,3,salet,bingo,condo,,,
macho,3,salet,bacon,macho,,,
atoll,3,salet,aptly,atoll,,,
allay,3,salet,aglow,allay,,,
erode,5,salet,begin,epoch,evoke,erode,
verse,5,salet,chose,rinse,purse,verse,
gassy,4,salet,mason,raspy,gassy,,
enact,5,salet,adept,begat,exact,enact,
glass,4,salet,flash,clasp,glass,,
coupe,4,salet,begin,epoch,coupe,,
craft,3,salet,graft,craft,,,
leper,5,salet,cruel,liner,lover,leper,
latch,3,salet,fatal,latch,,,
lusty,2,salet,lusty,,,,
decoy,4,salet,begin,decor,decoy,,
biome,3,salet,begin,biome,,,
llama,5,salet,aloud,flaky,plain,llama,
delta,2,salet,delta,,,,
apple,4,salet,agile,ample,apple,,
major,4,salet,bacon,mayor,major,,
clear,4,salet,agile,clean,clear,,
droll,4,salet,blimp,curly,droll,,
still,2,salet,still,,,,
booty,3,salet,botch,booty,,,
freak,False,salet,abide,heavy,omega,creak,wreak
drill,4,salet,blimp,guild,drill,,
beach,5,salet,abide,zebra,began,beach,
grope,5,salet,begin,judge,grove,grope,
brine,3,salet,begin,brine,,,
badly,5,salet,carol,gaily,manly,badly,
augur,4,salet,chair,arbor,augur,,
catty,5,salet,tango,party,batty,catty,
abyss,4,salet,arson,amiss,abyss,,
abbey,3,salet,aider,abbey,,,
ratio,4,salet,tango,patio,ratio,,
sloop,3,salet,scowl,sloop,,,
bravo,4,salet,chair,ovary,bravo,,
hoist,6,salet,crust,joist,moist,foist,hoist
frame,4,salet,abide,chafe,frame,,
papal,4,salet,carol,naval,papal,,
macho,4,salet,bacon,macro,macho,,
drier,3,salet,pried,drier,,,
pushy,5,salet,bison,husky,mushy,pushy,
bland,5,salet,aloud,plaid,gland,bland,
crepe,4,salet,begin,epoch,crepe,,
cocoa,4,salet,chair,comma,cocoa,,
quark,5,salet,chair,ovary,dwarf,quark,
chunk,4,salet,bingo,drunk,chunk,,
colon,3,salet,gulch,colon,,,
cargo,3,salet,bacon,cargo,,,
attic,4,salet,junta,today,attic,,
login,4,salet,blimp,lingo,login,,
agora,4,salet,chair,organ,agora,,
fraud,5,salet,chair,ovary,brand,fraud,
musky,4,salet,bison,husky,musky,,
frock,4,salet,bingo,chord,frock,,
girly,4,salet,blimp,lingo,girly,,
rowdy,4,salet,bingo,chord,rowdy,,
favor,5,salet,bacon,mayor,vapor,favor,
lingo,3,salet,blimp,lingo,,,
natal,3,salet,fatal,natal,,,
event,4,salet,erupt,evict,event,,
askew,2,salet,askew,,,,
fiery,4,salet,begin,edify,fiery,,
brake,4,salet,abide,brace,brake,,
error,4,salet,begin,epoch,error,,
aphid,3,salet,chair,aphid,,,
flake,4,salet,agile,blame,flake,,
limbo,3,salet,blimp,limbo,,,
point,4,salet,doubt,joint,point,,
angry,4,salet,chair,organ,angry,,
cumin,4,salet,bingo,incur,cumin,,
cache,4,salet,mange,carve,cache,,
abhor,3,salet,chair,abhor,,,
about,3,salet,graft,about,,,
drake,3,salet,abide,drake,,,
fling,4,salet,blimp,cling,fling,,
latte,3,salet,table,latte,,,
foray,4,salet,chair,organ,foray,,
robin,4,salet,bingo,inbox,robin,,
adapt,4,salet,graft,chant,adapt,,
cargo,3,salet,bacon,cargo,,,
aside,2,salet,aside,,,,
alarm,5,salet,aloud,align,alpha,alarm,
debut,3,salet,erupt,debut,,,
gauze,4,salet,mange,vague,gauze,,
assay,3,salet,arson,assay,,,
phony,4,salet,bingo,frond,phony,,
budge,3,salet,begin,budge,,,
fluke,4,salet,lemon,clerk,fluke,,
mercy,5,salet,begin,decor,perch,mercy,
cable,4,salet,early,fable,cable,,
barge,3,salet,mange,barge,,,
suave,5,salet,scare,shade,snake,suave,
motor,4,salet,botch,motif,motor,,
drape,3,salet,abide,drape,,,
colon,3,salet,gulch,colon,,,
chime,5,salet,begin,edify,prime,chime,
paddy,5,salet,bacon,fairy,gaudy,paddy,
daisy,3,salet,mason,daisy,,,
reply,3,salet,lemon,reply,,,
steal,3,salet,slate,steal,,,
epoxy,4,salet,begin,epoch,epoxy,,
glint,3,salet,flout,glint,,,
kneed,4,salet,pried,unfed,kneed,,
creme,5,salet,begin,epoch,crude,creme,
hitch,6,salet,botch,ditch,pitch,witch,hitch
dodgy,4,salet,bingo,rough,dodgy,,
booze,4,salet,begin,broke,booze,,
satyr,3,salet,satin,satyr,,,
alive,4,salet,agile,alike,alive,,
beret,4,salet,unmet,rivet,beret,,
bilge,2,salet,bilge,,,,
glass,4,salet,flash,clasp,glass,,
aorta,3,salet,junta,aorta,,,
boast,3,salet,ascot,boast,,,
amity,4,salet,junta,wrath,amity,,
harpy,5,salet,bacon,fairy,hardy,harpy,
groom,4,salet,bingo,group,groom,,
angst,3,salet,ascot,angst,,,
growl,4,salet,blimp,curly,growl,,
bused,4,salet,miser,nosey,bused,,
built,4,salet,flout,guilt,built,,
aglow,2,salet,aglow,,,,
riser,4,salet,miser,wiser,riser,,
print,4,salet,doubt,crypt,print,,
aphid,3,salet,chair,aphid,,,
macro,3,salet,bacon,macro,,,
canoe,3,salet,mange,canoe,,,
crash,4,salet,arson,brash,crash,,
boozy,4,salet,bingo,buxom,boozy,,
candy,4,salet,bacon,fancy,candy,,
curve,5,salet,begin,epoch,crude,curve,
mount,4,salet,doubt,count,mount,,
drawl,3,salet,aloud,drawl,,,
aside,3,salet,usage,aside,,,
brisk,3,salet,bison,brisk,,,
haste,2,salet,haste,,,,
groin,3,salet,bingo,groin,,,
annex,3,salet,aider,annex,,,
align,3,salet,aloud,align,,,
ferry,6,salet,begin,decor,perky,merry,ferry
beach,5,salet,abide,zebra,began,beach,
humor,4,salet,bingo,chord,humor,,
shale,2,salet,shale,,,,
barge,3,salet,mange,barge,,,
shady,3,salet,scary,shady,,,
shore,4,salet,scone,shove,shore,,
chili,5,salet,blimp,guild,icily,chili,
batty,4,salet,tango,party,batty,,
pansy,3,salet,mason,pansy,,,
loyal,5,salet,aloud,coral,zonal,loyal,
roger,6,salet,pried,boxer,cower,goner,roger
skunk,4,salet,scion,spunk,skunk,,
banjo,3,salet,bacon,banjo,,,
awake,5,salet,abide,argue,awoke,awake,
prove,4,salet,begin,epoch,prove,,
birth,3,salet,botch,birth,,,
local,6,salet,aloud,coral,vocal,focal,local
bless,4,salet,close,flesh,bless,,
pedal,4,salet,agile,clean,pedal,,
medic,3,salet,begin,medic,,,
ought,4,salet,doubt,grout,ought,,
drift,3,salet,doubt,drift,,,
sixth,3,salet,sixty,sixth,,,
envoy,6,salet,begin,crone,endow,enjoy,envoy
hasty,2,salet,hasty,,,,
alien,3,salet,angel,alien,,,
riser,4,salet,miser,wiser,riser,,
embed,4,salet,pried,unfed,embed,,
clear,4,salet,agile,clean,clear,,
smart,5,salet,squat,shaft,scant,smart,
farce,4,salet,mange,carve,farce,,
awful,3,salet,aloud,awful,,,
gland,4,salet,aloud,plaid,gland,,
drawn,5,salet,chair,ovary,brand,drawn,
leper,5,salet,cruel,liner,lover,leper,
pound,5,salet,bingo,frond,hound,pound,
dopey,3,salet,pried,dopey,,,
croak,3,salet,chair,croak,,,
dopey,3,salet,pried,dopey,,,
flack,4,salet,aloud,flaky,flack,,
photo,4,salet,botch,thorn,photo,,
clove,5,salet,lemon,whole,globe,clove,
derby,3,salet,begin,derby,,,
cling,3,salet,blimp,cling,,,
guava,4,salet,chair,foamy,guava,,
claim,5,salet,aloud,flaky,plain,claim,
abbot,4,salet,graft,audit,abbot,,
camel,5,salet,lager,panel,hazel,camel,
blend,4,salet,lemon,uncle,blend,,
amaze,5,salet,abide,argue,awoke,amaze,
booby,5,salet,bingo,buxom,boozy,booby,
pesto,3,salet,ethos,pesto,,,
cheer,6,salet,pried,boxer,fever,queer,cheer
sully,3,salet,sulky,sully,,,
crick,5,salet,bingo,quirk,prick,crick,
foist,5,salet,crust,joist,moist,foist,
album,3,salet,aloud,album,,,
basin,3,salet,mason,basin,,,
rusty,3,salet,dusty,rusty,,,
elide,5,salet,lemon,clerk,glide,elide,
avian,4,salet,chair,axion,avian,,
felon,5,salet,bilge,welch,melon,felon,
bloom,3,salet,blimp,bloom,,,
ditto,4,salet,botch,intro,ditto,,
comet,3,salet,unmet,comet,,,
afire,3,salet,abide,afire,,,
bayou,3,salet,bacon,bayou,,,
blurb,5,salet,blimp,block,bluff,blurb,
pence,False,salet,begin,nerdy,venom,wench,fence
gloss,4,salet,locus,floss,gloss,,
basal,3,salet,nasal,basal,,,
beret,5,salet,unmet,rivet,greet,beret,
brown,4,salet,bingo,bound,brown,,
taunt,False,salet,gamut,daunt,jaunt,vaunt,haunt
antic,4,salet,junta,thank,antic,,
funky,4,salet,bingo,hunky,funky,,
coral,3,salet,aloud,coral,,,
aback,5,salet,chair,quack,knack,aback,
brace,3,salet,abide,brace,,,
fluke,4,salet,lemon,clerk,fluke,,
flail,5,salet,aloud,flaky,flair,flail,
fleck,4,salet,lemon,clerk,fleck,,
grill,4,salet,blimp,guild,grill,,
cream,5,salet,abide,heavy,omega,cream,
dandy,6,salet,bacon,mangy,randy,handy,dandy
jazzy,6,salet,bacon,fairy,gaudy,happy,jazzy
newly,3,salet,lemon,newly,,,
decoy,4,salet,begin,decor,decoy,,
beefy,4,salet,begin,berry,beefy,,
faint,5,salet,gamut,yacht,paint,faint,
check,4,salet,begin,epoch,check,,
growl,4,salet,blimp,curly,growl,,
axial,4,salet,aloud,anvil,axial,,
cliff,4,salet,blimp,clink,cliff,,
cadet,2,salet,cadet,,,,
opium,4,salet,bingo,choir,opium,,
beget,5,salet,unmet,rivet,octet,beget,
ninny,6,salet,bingo,finch,pinky,windy,ninny
flame,4,salet,agile,blame,flame,,
board,4,salet,chair,ovary,board,,
joist,3,salet,crust,joist,,,
dress,5,salet,chose,guess,press,dress,
baler,2,salet,baler,,,,
guide,4,salet,begin,grime,guide,,
munch,5,salet,bingo,hunky,punch,munch,
leach,4,salet,agile,clean,leach,,
expel,5,salet,cruel,novel,impel,expel,
chill,6,salet,blimp,guild,icily,chili,chill
loath,3,salet,aptly,loath,,,
funky,4,salet,bingo,hunky,funky,,
handy,5,salet,bacon,mangy,randy,handy,
derby,3,salet,begin,derby,,,
grate,5,salet,atone,crate,irate,grate,
flora,4,salet,aloud,cloak,flora,,
demon,4,salet,begin,heron,demon,,
crawl,5,salet,aloud,frail,brawl,crawl,
godly,4,salet,blimp,curly,godly,,
chess,3,salet,chose,chess,,,
piggy,3,salet,bingo,piggy,,,
quark,5,salet,chair,ovary,dwarf,quark,
cargo,3,salet,bacon,cargo,,,
pause,3,salet,cause,pause,,,
bulge,3,salet,bilge,bulge,,,
spilt,2,salet,spilt,,,,
mover,False,salet,pried,boxer,cower,goner,homer
harem,4,salet,baker,ramen,harem,,
every,4,salet,begin,epoch,every,,
chasm,4,salet,arson,quasi,chasm,,
dense,4,salet,chose,rinse,dense,,
heavy,3,salet,abide,heavy,,,
ready,4,salet,abide,heady,ready,,
ascot,2,salet,ascot,,,,
ninja,4,salet,chair,axion,ninja,,
below,3,salet,bilge,below,,,
inter,3,salet,often,inter,,,
shell,3,salet,shelf,shell,,,
drake,3,salet,abide,drake,,,
anode,3,salet,abide,anode,,,
grape,5,salet,abide,chafe,grave,grape,
berth,3,salet,brute,berth,,,
shale,3,salet,scale,shale,,,
faith,4,salet,tango,party,faith,,
ample,3,salet,agile,ample,,,
tunic,3,salet,botch,tunic,,,
leave,4,salet,agile,blame,leave,,
fetid,3,salet,brute,fetid,,,
flesh,3,salet,close,flesh,,,
dolly,6,salet,gulch,milky,folly,jolly,dolly
knead,3,salet,abide,knead,,,
ridge,4,salet,begin,grime,ridge,,
exert,3,salet,erupt,exert,,,
those,3,salet,ethos,those,,,
disco,3,salet,bison,disco,,,
squib,3,salet,scion,squib,,,
exult,3,salet,dwelt,exult,,,
earth,3,salet,haute,earth,,,
rainy,4,salet,bacon,mangy,rainy,,
begat,3,salet,adept,begat,,,
curio,4,salet,bingo,primo,curio,,
amuse,4,salet,usage,abuse,amuse,,
briny,4,salet,bingo,brink,briny,,
scarf,3,salet,scary,scarf,,,
chose,2,salet,chose,,,,
clang,5,salet,aloud,flaky,plain,clang,
plied,4,salet,cruel,liken,plied,,
scary,2,salet,scary,,,,
bland,5,salet,aloud,plaid,gland,bland,
spite,4,salet,suite,smite,spite,,
steam,3,salet,skate,steam,,,
pithy,3,salet,botch,pithy,,,
freak,6,salet,abide,hyena,creak,wreak,freak
prove,4,salet,begin,epoch,prove,,
goofy,4,salet,bingo,group,goofy,,
azure,4,salet,abide,argue,azure,,
itchy,3,salet,botch,itchy,,,
noble,3,salet,lemon,noble,,,
faint,5,salet,gamut,yacht,paint,faint,
flour,4,salet,blimp,cloud,flour,,
atoll,3,salet,aptly,atoll,,,
aisle,2,salet,aisle,,,,
being,3,salet,begin,being,,,
lanky,4,salet,carol,gaily,lanky,,
choir,3,salet,bingo,choir,,,
phone,4,salet,begin,crone,phone,,
risky,3,salet,bison,risky,,,
madly,5,salet,carol,gaily,manly,madly,
cairn,3,salet,bacon,cairn,,,
begin,2,salet,begin,,,,
roach,3,salet,chair,roach,,,
among,3,salet,chair,among,,,
glory,4,salet,blimp,cloud,glory,,
heart,5,salet,adept,begat,meant,heart,
joint,3,salet,doubt,joint,,,
lucky,4,salet,blimp,curly,lucky,,
liege,3,salet,lemon,liege,,,
spend,3,salet,scone,spend,,,
gauze,4,salet,mange,vague,gauze,,
latch,3,salet,fatal,latch,,,
gummy,4,salet,bingo,guppy,gummy,,
howdy,4,salet,bingo,chord,howdy,,
blade,6,salet,agile,blame,blare,blaze,blade
boxer,3,salet,pried,boxer,,,
sower,4,salet,shied,sober,sower,,
slurp,5,salet,scowl,sling,slump,slurp,
shush,4,salet,scion,shrub,shush,,
chief,3,salet,pried,chief,,,
nadir,4,salet,bacon,mangy,nadir,,
decor,4,salet,denim,debug,decor,,
began,4,salet,abide,zebra,began,,
robin,4,salet,bingo,inbox,robin,,
gourd,4,salet,bingo,group,gourd,,
caper,4,salet,baker,payer,caper,,
brash,3,salet,arson,brash,,,
champ,3,salet,chair,champ,,,
graft,2,salet,graft,,,,
drier,3,salet,pried,drier,,,
metal,4,salet,fetal,petal,metal,,
clout,3,salet,flout,clout,,,
delta,2,salet,delta,,,,
femme,4,salet,denim,mercy,femme,,
prude,4,salet,denim,budge,prude,,
ditty,4,salet,botch,putty,ditty,,
broad,4,salet,chair,organ,broad,,
fewer,5,salet,pried,boxer,fever,fewer,
elfin,3,salet,lemon,elfin,,,
blunt,3,salet,flout,blunt,,,
arose,3,salet,usage,arose,,,
brink,3,salet,bingo,brink,,,
oddly,5,salet,blimp,curly,godly,oddly,
grain,4,salet,chair,braid,grain,,
fecal,5,salet,agile,clean,decal,fecal,
chase,3,salet,usage,chase,,,
ovoid,4,salet,bingo,ivory,ovoid,,
circa,3,salet,chair,circa,,,
atone,2,salet,atone,,,,
droll,4,salet,blimp,curly,droll,,
acorn,3,salet,chair,acorn,,,
rouse,3,salet,fresh,rouse,,,
lynch,4,salet,blimp,curly,lynch,,
bowel,5,salet,cruel,novel,model,bowel,
deter,4,salet,often,utter,deter,,
sharp,5,salet,scram,shard,shark,sharp,
exult,3,salet,dwelt,exult,,,
repay,4,salet,abide,hyena,repay,,
pooch,4,salet,bingo,chord,pooch,,
drake,4,salet,abide,drape,drake,,
piano,3,salet,chair,piano,,,
aunty,3,salet,junta,aunty,,,
matey,3,salet,hater,matey,,,
loamy,4,salet,aloud,moral,loamy,,
along,3,salet,aloud,along,,,
moose,4,salet,fresh,mouse,moose,,
putty,3,salet,botch,putty,,,
alien,3,salet,angel,alien,,,
fifty,5,salet,botch,unity,dirty,fifty,
login,4,salet,blimp,logic,login,,
abbot,3,salet,abort,abbot,,,
ninja,4,salet,chair,axion,ninja,,
amuse,4,salet,usage,abuse,amuse,,
furor,5,salet,bingo,chord,forum,furor,
above,3,salet,abide,above,,,
drink,4,salet,bingo,incur,drink,,
cleft,3,salet,dwelt,cleft,,,
elbow,3,salet,lemon,elbow,,,
amaze,5,salet,abide,argue,awoke,amaze,
eager,6,salet,baker,payer,gazer,wager,eager
bleed,5,salet,cruel,liken,bleep,bleed,
repay,5,salet,abide,hyena,weary,repay,
chafe,3,salet,abide,chafe,,,
fibre,4,salet,denim,gripe,fibre,,
feast,4,salet,yeast,beast,feast,,
shall,4,salet,scalp,small,shall,,
civil,4,salet,blimp,logic,civil,,
quake,5,salet,abide,chafe,grave,quake,
creep,3,salet,pried,creep,,,
budge,3,salet,denim,budge,,,
earth,3,salet,haute,earth,,,
frank,6,salet,chair,ovary,brand,prank,frank
cadet,3,salet,facet,cadet,,,
spied,3,salet,shied,spied,,,
brash,3,salet,arson,brash,,,
abhor,3,salet,chair,abhor,,,
depth,4,salet,brute,hefty,depth,,
grimy,3,salet,bingo,grimy,,,
genre,5,salet,denim,wench,penny,genre,
handy,5,salet,bacon,mangy,randy,handy,
idiom,4,salet,bingo,ivory,idiom,,
modem,4,salet,pried,dozen,modem,,
drill,4,salet,blimp,guild,drill,,
align,3,salet,aloud,align,,,
frost,4,salet,crust,wrist,frost,,
tally,3,salet,talon,tally,,,
nurse,6,salet,fresh,verso,curse,purse,nurse
churn,4,salet,bingo,drunk,churn,,
umbra,5,salet,chair,organ,rumba,umbra,
gland,4,salet,aloud,plaid,gland,,
moose,4,salet,fresh,mouse,moose,,
fetal,2,salet,fetal,,,,
parse,4,salet,cause,raise,parse,,
motor,4,salet,botch,motif,motor,,
front,4,salet,doubt,pivot,front,,
debut,3,salet,erupt,debut,,,
aunty,3,salet,junta,aunty,,,
nosey,3,salet,miser,nosey,,,
favor,5,salet,bacon,mayor,vapor,favor,
match,5,salet,tango,party,datum,match,
lance,3,salet,early,lance,,,
croak,3,salet,chair,croak,,,
mouth,4,salet,botch,youth,mouth,,
boost,5,salet,crust,midst,ghost,boost,
blood,5,salet,blimp,block,blond,blood,
macaw,4,salet,bacon,wacky,macaw,,
hasty,2,salet,hasty,,,,
nymph,4,salet,bingo,drunk,nymph,,
newly,3,salet,lemon,newly,,,
barge,3,salet,mange,barge,,,
blast,2,salet,blast,,,,
grill,4,salet,blimp,guild,grill,,
cloud,3,salet,blimp,cloud,,,
flirt,4,salet,flout,flint,flirt,,
angle,3,salet,agile,angle,,,
nasty,4,salet,pasta,hasty,nasty,,
breed,3,salet,pried,breed,,,
conic,4,salet,bingo,ionic,conic,,
quick,4,salet,bingo,quirk,quick,,
beset,3,salet,unset,beset,,,
growl,4,salet,blimp,curly,growl,,
guppy,3,salet,bingo,guppy,,,
fungi,3,salet,bingo,fungi,,,
bulge,3,salet,bilge,bulge,,,
bully,4,salet,gulch,bulky,bully,,
focus,3,salet,bison,focus,,,
awash,4,salet,arson,amiss,awash,,
rogue,4,salet,denim,probe,rogue,,
those,3,salet,ethos,those,,,
leech,4,salet,lemon,leggy,leech,,
cacao,4,salet,bacon,macro,cacao,,
juice,5,salet,denim,gripe,voice,juice,
doing,4,salet,bingo,owing,doing,,
penal,4,salet,agile,clean,penal,,
slope,4,salet,shelf,slide,slope,,
dryly,4,salet,blimp,curly,dryly,,
cable,4,salet,early,fable,cable,,
nicer,4,salet,pried,infer,nicer,,
spurt,4,salet,scout,shunt,spurt,,
hotly,2,salet,hotly,,,,
grind,4,salet,bingo,dying,grind,,
cheer,6,salet,pried,boxer,fever,queer,cheer
actor,4,salet,junta,today,actor,,
suing,3,salet,scion,suing,,,
adore,3,salet,abide,adore,,,
glint,3,salet,flout,glint,,,
blitz,3,salet,truly,blitz,,,
ditch,3,salet,botch,ditch,,,
alloy,3,salet,bylaw,alloy,,,
beret,5,salet,unmet,rivet,greet,beret,
gaily,3,salet,carol,gaily,,,
ombre,3,salet,denim,ombre,,,
dowel,5,salet,cruel,novel,model,dowel,
merry,4,salet,denim,mercy,merry,,
croup,4,salet,bingo,chord,croup,,
bitty,3,salet,botch,bitty,,,
spire,4,salet,scone,shire,spire,,
alive,4,salet,agile,alike,alive,,
posit,3,salet,crust,posit,,,
shame,6,salet,scare,shade,shake,shape,shame
cable,4,salet,early,fable,cable,,
great,3,salet,adept,great,,,
align,3,salet,aloud,align,,,
heron,4,salet,denim,begun,heron,,
caput,3,salet,gamut,caput,,,
kiosk,3,salet,bison,kiosk,,,
elbow,3,salet,lemon,elbow,,,
growl,4,salet,blimp,curly,growl,,
shrub,3,salet,scion,shrub,,,
paper,5,salet,baker,payer,parer,paper,
dumpy,5,salet,bingo,crump,jumpy,dumpy,
cabby,3,salet,bacon,cabby,,,
crime,6,salet,denim,imbue,grime,prime,crime
moody,5,salet,bingo,chord,woody,moody,
belch,4,salet,bilge,below,belch,,
pedal,5,salet,agile,clean,equal,pedal,
equip,3,salet,denim,equip,,,
elate,4,salet,fetal,plate,elate,,
stuff,6,salet,sixty,stock,stump,stung,stuff
azure,4,salet,abide,argue,azure,,
girly,4,salet,blimp,logic,girly,,
finer,4,salet,pried,infer,finer,,
crier,4,salet,pried,brief,crier,,
gross,5,salet,bison,focus,dross,gross,
lorry,4,salet,blimp,curly,lorry,,
eater,5,salet,hater,water,cater,eater,
lurid,4,salet,blimp,logic,lurid,,
mania,4,salet,bacon,mangy,mania,,
forty,4,salet,botch,pouty,forty,,
foray,5,salet,chair,organ,borax,foray,
puree,4,salet,pried,power,puree,,
frost,4,salet,crust,wrist,frost,,
greet,4,salet,unmet,rivet,greet,,
ditto,4,salet,botch,intro,ditto,,
edict,4,salet,erupt,evict,edict,,
boule,4,salet,lemon,whole,boule,,
hunky,3,salet,bingo,hunky,,,
khaki,3,salet,chair,khaki,,,
shale,3,salet,scale,shale,,,
rowdy,5,salet,bingo,chord,wordy,rowdy,
crept,3,salet,erupt,crept,,,
peace,5,salet,abide,chafe,grace,peace,
mogul,3,salet,blimp,mogul,,,
cacao,4,salet,bacon,macro,cacao,,
elide,5,salet,lemon,clerk,glide,elide,
lipid,4,salet,blimp,pupil,lipid,,
buggy,3,salet,bingo,buggy,,,
covey,4,salet,pried,boney,covey,,
color,4,salet,gulch,colon,color,,
bossy,3,salet,bison,bossy,,,
axial,4,salet,aloud,anvil,axial,,
grant,4,salet,abort,graft,grant,,
gaunt,3,salet,gamut,gaunt,,,
belly,5,salet,bilge,below,belch,belly,
freak,6,salet,abide,hyena,creak,wreak,freak
chute,3,salet,brute,chute,,,
dense,4,salet,fresh,mouse,dense,,
earth,3,salet,haute,earth,,,
foamy,3,salet,chair,foamy,,,
deity,4,salet,brute,hefty,deity,,
couch,4,salet,bingo,chord,couch,,
edict,4,salet,erupt,evict,edict,,
guile,5,salet,lemon,clerk,while,guile,
guess,4,salet,fresh,poesy,guess,,
fauna,5,salet,bacon,mangy,nadir,fauna,
safer,2,salet,safer,,,,
radii,5,salet,bacon,fairy,rapid,radii,
goody,5,salet,bingo,group,goofy,goody,
