Correct Word,Number of Guesses,1st Guess,2nd Guess,3rd Guess,4th Guess,5th Guess,6th Guess
fritz,4,salet,botch,unity,fritz,,
allot,2,salet,allot,,,,
burst,3,salet,crust,burst,,,
blaze,5,salet,agile,blame,blare,blaze,
dirty,4,salet,botch,unity,dirty,,
altar,3,salet,aptly,altar,,,
bland,4,salet,afoul,black,bland,,
alley,3,salet,abled,alley,,,
arose,4,salet,aside,abuse,arose,,
every,5,salet,begin,chore,query,every,
equip,3,salet,begin,equip,,,
cobra,4,salet,abhor,board,cobra,,
crave,4,salet,abide,chafe,crave,,
media,3,salet,abide,media,,,
agent,3,salet,adept,agent,,,
bicep,3,salet,brief,bicep,,,
ladle,5,salet,early,fable,maple,ladle,
belch,4,salet,bilge,below,belch,,
crank,4,salet,abhor,wrack,crank,,
disco,3,salet,bison,disco,,,
affix,4,salet,abhor,admin,affix,,
chump,4,salet,bingo,crump,chump,,
fetch,3,salet,berth,fetch,,,
afoul,2,salet,afoul,,,,
crony,4,salet,bingo,frond,crony,,
avail,4,salet,aloud,anvil,avail,,
digit,4,salet,bigot,fight,digit,,
brown,4,salet,bingo,bound,brown,,
elate,3,salet,fetal,elate,,,
satyr,3,salet,satin,satyr,,,
inert,4,salet,edict,inept,inert,,
allow,3,salet,aglow,allow,,,
pluck,4,salet,blimp,glyph,pluck,,
booth,3,salet,botch,booth,,,
flora,3,salet,aloud,flora,,,
harem,4,salet,baker,ramen,harem,,
amble,3,salet,agile,amble,,,
local,6,salet,aloud,coral,focal,vocal,local
ditto,4,salet,botch,intro,ditto,,
essay,3,salet,aside,essay,,,
antic,4,salet,junta,thank,antic,,
giddy,4,salet,bingo,rigid,giddy,,
check,4,salet,begin,chore,check,,
gouge,5,salet,begin,judge,rouge,gouge,
adult,3,salet,aloft,adult,,,
gumbo,3,salet,bingo,gumbo,,,
harsh,4,salet,basin,marsh,harsh,,
aorta,3,salet,junta,aorta,,,
skier,3,salet,shied,skier,,,
choke,4,salet,begin,chore,choke,,
brass,4,salet,arson,brash,brass,,
plain,4,salet,aloud,flair,plain,,
humor,4,salet,bingo,chord,humor,,
natal,2,salet,natal,,,,
expel,5,salet,cruel,hovel,impel,expel,
egret,5,salet,unmet,rivet,beret,egret,
silky,2,salet,silky,,,,
macro,3,salet,bacon,macro,,,
shell,3,salet,shelf,shell,,,
ounce,4,salet,begin,crone,ounce,,
amaze,5,salet,abide,argue,awoke,amaze,
giant,2,salet,giant,,,,
blend,4,salet,lemon,uncle,blend,,
ratty,5,salet,baton,datum,patch,ratty,
bosom,3,salet,bison,bosom,,,
cleat,4,salet,alert,bleat,cleat,,
pithy,3,salet,botch,pithy,,,
cutie,3,salet,berth,cutie,,,
delve,3,salet,bilge,delve,,,
hobby,3,salet,bingo,hobby,,,
belch,4,salet,bilge,below,belch,,
awoke,4,salet,abide,argue,awoke,,
haunt,6,salet,caput,daunt,jaunt,vaunt,haunt
etude,4,salet,berth,twice,etude,,
coupe,4,salet,begin,chore,coupe,,
solid,2,salet,solid,,,,
bigot,2,salet,bigot,,,,
hurry,5,salet,bingo,crump,ruddy,hurry,
hobby,3,salet,bingo,hobby,,,
gaffe,4,salet,barge,vague,gaffe,,
empty,4,salet,berth,piety,empty,,
handy,5,salet,bacon,mangy,randy,handy,
eaten,4,salet,hater,matey,eaten,,
blitz,2,salet,blitz,,,,
faint,3,salet,caput,faint,,,
conic,4,salet,bingo,ionic,conic,,
